position(base)	genetic_distance(centiMorgan)
2741	0.002741
15909	0.015909
58401	0.058401
83020	0.08302
126136	0.126136
136943	0.136943
163116	0.163116
174205	0.174205
181241	0.181241
206500	0.2065
211089	0.211089
254047	0.254047
270101	0.270101
347506	0.347506
367388	0.367388
396898	0.396898
400899	0.400899
471263	0.471263
495268	0.495268
496453	0.496453
525711	0.525711
533349	0.533349
535080	0.53508
535571	0.535571
559363	0.559363
591177	0.591177
594093	0.594093
611350	0.61135
619365	0.619365
643896	0.643896
647423	0.647423
655743	0.655743
671276	0.671276
692593	0.692593
694204	0.694204
704021	0.704021
719559	0.719559
728941	0.728941
795093	0.795093
844541	0.844541
877155	0.877155
889268	0.889268
900646	0.900646
974887	0.974887
1007415	1.00741
1031676	1.03168
1094481	1.09448
1228954	1.22895
1293849	1.29385
1298042	1.29804
1310625	1.31062
1360755	1.36075
1378121	1.37812
1378977	1.37898
1394375	1.39437
1439306	1.43931
1475597	1.4756
1523507	1.52351
1532163	1.53216
1542658	1.54266
1560235	1.56023
1577648	1.57765
1581279	1.58128
1686187	1.68619
1746504	1.7465
1746910	1.74691
1751461	1.75146
1765737	1.76574
1830037	1.83004
1851097	1.8511
1870527	1.87053
1888081	1.88808
1910781	1.91078
1935680	1.93568
1995330	1.99533
2008519	2.00852
2024141	2.02414
2052151	2.05215
2068176	2.06818
2107505	2.10751
2173665	2.17367
2175589	2.17559
2176295	2.1763
2179276	2.17928
2266315	2.26632
2274241	2.27424
2275016	2.27502
2292574	2.29257
2323280	2.32328
2329052	2.32905
2412271	2.41227
2438701	2.4387
2446523	2.44652
2467200	2.4672
2551433	2.55143
2580249	2.58025
2585070	2.58507
2601640	2.60164
2634748	2.63475
2644154	2.64415
2658814	2.65881
2735760	2.73576
2781059	2.78106
2876548	2.87655
2944157	2.94416
2959294	2.95929
2960616	2.96062
3010333	3.01033
3016300	3.0163
3060749	3.06075
3140705	3.14071
3169095	3.1691
3270216	3.27022
3279183	3.27918
3281812	3.28181
3300302	3.3003
3300608	3.30061
3320984	3.32098
3328756	3.32876
3337177	3.33718
3337586	3.33759
3359633	3.35963
3398465	3.39846
3418335	3.41833
3431709	3.43171
3433194	3.43319
3531984	3.53198
3535180	3.53518
3544849	3.54485
3636846	3.63685
3648722	3.64872
3653668	3.65367
3656419	3.65642
3662973	3.66297
3717966	3.71797
3726264	3.72626
3731414	3.73141
3759326	3.75933
3765537	3.76554
3767723	3.76772
3785634	3.78563
3792409	3.79241
3803620	3.80362
3809303	3.8093
3813239	3.81324
3824179	3.82418
3849460	3.84946
3890493	3.89049
3894070	3.89407
3924693	3.92469
3926046	3.92605
3926085	3.92609
3936478	3.93648
3960647	3.96065
4047229	4.04723
4048294	4.04829
4070942	4.07094
4076215	4.07621
4095353	4.09535
4111054	4.11105
4133398	4.1334
4189630	4.18963
4231049	4.23105
4318055	4.31806
4337985	4.33798
4362167	4.36217
4364986	4.36499
4377858	4.37786
4379261	4.37926
4380076	4.38008
4400740	4.40074
4402946	4.40295
4422359	4.42236
4486092	4.48609
4487241	4.48724
4489210	4.48921
4542920	4.54292
4558908	4.55891
4595806	4.59581
4600318	4.60032
4635283	4.63528
4642794	4.64279
4644787	4.64479
4681703	4.6817
4719528	4.71953
4733015	4.73301
4773717	4.77372
4797500	4.7975
4819841	4.81984
4836730	4.83673
4837203	4.8372
4839220	4.83922
4863189	4.86319
4963967	4.96397
4990979	4.99098
5019843	5.01984
5023522	5.02352
5023737	5.02374
5044422	5.04442
5056770	5.05677
5060028	5.06003
5152110	5.15211
5164002	5.164
5166324	5.16632
5189350	5.18935
5197981	5.19798
5210300	5.2103
5281535	5.28153
5316274	5.31627
5320929	5.32093
5329809	5.32981
5451900	5.4519
5467681	5.46768
5531497	5.5315
5738257	5.73826
5802065	5.80206
5866546	5.86655
5873070	5.87307
5879169	5.87917
5970446	5.97045
5973468	5.97347
6015946	6.01595
6023131	6.02313
